Year Make Model,Image,VIN,Location,QR Code
2018 Nissan Sentra 1.8 SV (CVT) 4dr Sedan,https://images.edealer.ca/18/122146162.jpeg,3N1AB7AP2JY311748,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=3N1AB7AP2JY311748&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2013 Nissan Rogue SV 4dr All-Wheel Drive,https://images.edealer.ca/18/122145789.jpeg,JN8AS5MV4DW107724,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=JN8AS5MV4DW107724&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2017 Nissan Rogue SL Platinum 4dr All-Wheel Drive,https://images.edealer.ca/18/122129526.jpeg,5N1AT2MV0HC797675,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=5N1AT2MV0HC797675&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2021 Lexus NX 300 4dr All-Wheel Drive,https://images.edealer.ca/18/121991972.jpeg,JTJGARDZ2M2256642,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=JTJGARDZ2M2256642&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2020 Nissan Kicks SV (CVT) 4dr Front-Wheel Drive,https://images.edealer.ca/18/121933609.jpeg,3N1CP5CV3LL538313,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=3N1CP5CV3LL538313&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2018 Nissan Qashqai SL (CVT) 4dr All-Wheel Drive,https://images.edealer.ca/18/121933753.jpeg,JN1BJ1CR8JW262520,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=JN1BJ1CR8JW262520&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2018 Nissan Rogue SV 4dr All-Wheel Drive,https://images.edealer.ca/18/121814697.jpeg,5N1AT2MV5JC837190,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=5N1AT2MV5JC837190&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2021 Nissan Rogue SV 4dr All-Wheel Drive,https://images.edealer.ca/18/121693091.jpeg,5N1AT3BB7MC716664,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=5N1AT3BB7MC716664&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2018 Nissan Rogue S 4dr Front-Wheel Drive,https://images.edealer.ca/18/121625495.jpeg,5N1AT2MT0JC850976,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=5N1AT2MT0JC850976&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2018 Nissan Versa Note 1.6 SR (CVT) 4dr Hatchback 2018.5,https://images.edealer.ca/18/121625673.jpeg,3N1CE2CPXJL367059,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=3N1CE2CPXJL367059&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2019 Nissan Kicks S (CVT) 4dr Front-Wheel Drive,https://images.edealer.ca/18/121517492.jpeg,3N1CP5CU3KL557532,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=3N1CP5CU3KL557532&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2018 Nissan Qashqai S (CVT) 4dr Front-Wheel Drive,https://images.edealer.ca/18/122238643.jpeg,JN1BJ1CP3JW180368,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=JN1BJ1CP3JW180368&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2020 Nissan Rogue S (CVT) 4dr All-Wheel Drive,https://images.edealer.ca/18/121209319.jpeg,5N1AT2MV9LC746121,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=5N1AT2MV9LC746121&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2019 Nissan Altima 2.5 SV All-Wheel Drive Sedan,https://images.edealer.ca/18/121209108.jpeg,1N4BL4DW1KN319375,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=1N4BL4DW1KN319375&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2018 Nissan Rogue SV 4dr Front-Wheel Drive,https://images.edealer.ca/18/122238713.jpeg,5N1AT2MT2JC821754,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=5N1AT2MT2JC821754&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2019 Nissan Sentra 1.8 SV (CVT) 4dr Sedan,https://images.edealer.ca/18/121231962.jpeg,3N1AB7AP3KY350303,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=3N1AB7AP3KY350303&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2018 Nissan Rogue S 4dr Front-Wheel Drive,https://images.edealer.ca/18/121104414.jpeg,5N1AT2MTXJC781178,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=5N1AT2MTXJC781178&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2021 Nissan Rogue SV 4dr All-Wheel Drive,https://images.edealer.ca/18/121889382.jpeg,5N1AT3BB0MC717168,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=5N1AT3BB0MC717168&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2020 Nissan Rogue SL (CVT) 4dr All-Wheel Drive,https://images.edealer.ca/18/120816666.jpeg,5N1AT2MV1LC818882,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=5N1AT2MV1LC818882&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2021 Nissan Rogue S 4dr All-Wheel Drive,https://images.edealer.ca/18/120718261.jpeg,5N1AT3AB1MC703457,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=5N1AT3AB1MC703457&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2020 Subaru Crosstrek Convenience (CVT) 4dr All-Wheel Drive,https://images.edealer.ca/18/121945975.jpeg,JF2GTABC8L8214244,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=JF2GTABC8L8214244&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2020 Nissan Rogue SV (CVT) 4dr All-Wheel Drive,https://images.edealer.ca/18/121702831.jpeg,5N1AT2MV9LC756339,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=5N1AT2MV9LC756339&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2019 Nissan Qashqai SV (CVT) 4dr Front-Wheel Drive,https://images.edealer.ca/18/120925740.jpeg,JN1BJ1CP3KW216755,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=JN1BJ1CP3KW216755&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2020 Honda Pilot Touring 7P 4dr All-Wheel Drive,https://images.edealer.ca/18/121539725.jpeg,5FNYF6H68LB503570,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=5FNYF6H68LB503570&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2019 Nissan Qashqai SV (CVT) 4dr All-Wheel Drive,https://images.edealer.ca/18/121539685.jpeg,JN1BJ1CR2KW338993,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=JN1BJ1CR2KW338993&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2018 Nissan Qashqai S (CVT) 4dr Front-Wheel Drive,https://images.edealer.ca/18/121017405.jpeg,JN1BJ1CP4JW180914,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=JN1BJ1CP4JW180914&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2021 Nissan Qashqai SV (CVT) 4dr All-Wheel Drive,https://images.edealer.ca/18/121787236.jpeg,JN1BJ1BW9MW436462,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=JN1BJ1BW9MW436462&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2016 Nissan Versa Note 1.6 SV (CVT) 4dr Hatchback,https://images.edealer.ca/18/121787198.jpeg,3N1CE2CP5GL370363,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=3N1CE2CP5GL370363&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2015 Nissan Juke SV (CVT) 4dr All-Wheel Drive,https://images.edealer.ca/18/122014869.jpeg,JN8AF5MVXFT554745,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=JN8AF5MVXFT554745&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2020 Nissan Kicks S (CVT) 4dr Front-Wheel Drive,https://images.edealer.ca/18/121592792.jpeg,3N1CP5BV5LL575333,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=3N1CP5BV5LL575333&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2020 Audi Q5 45 Progressiv 4dr All-Wheel Drive quattro Sport Utility,https://images.edealer.ca/18/121017680.jpeg,WA1ENAFY6L2029578,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=WA1ENAFY6L2029578&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2018 Nissan Rogue SV 4dr All-Wheel Drive,https://images.edealer.ca/18/121232003.jpeg,5N1AT2MV8JC751081,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=5N1AT2MV8JC751081&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2019 Nissan Murano Platinum 4dr All-Wheel Drive,https://images.edealer.ca/18/120521765.jpeg,5N1AZ2MS1KN109599,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=5N1AZ2MS1KN109599&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2022 Nissan Pathfinder Platinum 4dr 4x4,https://images.edealer.ca/18/121539656.jpeg,5N1DR3DF8NC203145,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=5N1DR3DF8NC203145&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2017 BMW X6 xDrive35i 4dr All-Wheel Drive Sports Activity Coupe,https://images.edealer.ca/18/118155626.jpeg,5UXKU2C34H0U30011,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=5UXKU2C34H0U30011&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2020 Nissan Murano Platinum 4dr All-Wheel Drive,https://images.edealer.ca/18/118751850.jpeg,5N1AZ2DS9LN138303,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=5N1AZ2DS9LN138303&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2014 Nissan Juke Nismo (CVT) 4dr All-Wheel Drive,https://images.edealer.ca/18/118803851.jpeg,JN8AF5MVXET362921,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=JN8AF5MVXET362921&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2021 Volkswagen Atlas Cross Sport 3.6 FSI Highline 4dr All-Wheel Drive 4MOTION,https://images.edealer.ca/18/116791389.jpeg,1V2BE2CA3MC213716,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=1V2BE2CA3MC213716&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2018 Porsche 911 GT2 RS 2dr Rear-Wheel Drive Coupe,https://images.edealer.ca/18/105827379.jpeg,WP0AE2A98JS185239,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=WP0AE2A98JS185239&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2019 Nissan Rogue S (CVT) 4dr Front-Wheel Drive,https://images.edealer.ca/18/122204289.jpeg,5N1AT2MT1KC821200,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=5N1AT2MT1KC821200&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2019 Nissan Qashqai SV (CVT) 4dr Front-Wheel Drive,https://images.edealer.ca/18/122204605.jpeg,JN1BJ1CP9KW227971,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=JN1BJ1CP9KW227971&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2019 Nissan Rogue SL (CVT) 4dr All-Wheel Drive,https://images.edealer.ca/18/122204740.jpeg,5N1AT2MVXKC721081,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=5N1AT2MVXKC721081&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2020 BMW X5 xDrive40i 4dr All-Wheel Drive Sports Activity Vehicle,https://images.edealer.ca/18/121889477.jpeg,5UXCR6C05L9D70895,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=5UXCR6C05L9D70895&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2019 INFINITI Q50 3.0T SIGNATURE EDITION (A7) 4DR ALL-WHEEL DRIVE SEDAN,https://images.edealer.ca/18/121996297.jpeg,JN1EV7AR8KM592274,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=JN1EV7AR8KM592274&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2019 INFINITI QX60 PURE (CVT) 4DR ALL-WHEEL DRIVE,https://images.edealer.ca/18/121934659.jpeg,5N1DL0MM7KC560617,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=5N1DL0MM7KC560617&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2023 LEXUS RX 350H 4DR ALL-WHEEL DRIVE,https://images.edealer.ca/18/122238509.jpeg,2T2BBMCA7PC006470,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=2T2BBMCA7PC006470&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2016 BMW 528I XDRIVE I 4DR ALL-WHEEL DRIVE SEDAN,https://images.edealer.ca/18/121697452.jpeg,WBA5A7C59GG151873,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=WBA5A7C59GG151873&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2013 MERCEDES-BENZ E-CLASS E 350 2DR ALL-WHEEL DRIVE 4MATIC COUPE,https://images.edealer.ca/18/121689722.jpeg,WDDKJ8JB1DF217814,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=WDDKJ8JB1DF217814&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2016 BMW 640I XDRIVE GRAN COUPE I XDRIVE 4DR ALL-WHEEL DRIVE SEDAN,https://images.edealer.ca/18/121518330.jpeg,WBA6D2C52GGT65912,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=WBA6D2C52GGT65912&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2020 HONDA CR-V SPORT 4DR ALL-WHEEL DRIVE,https://images.edealer.ca/18/121702757.jpeg,2HKRW2H41LH205603,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=2HKRW2H41LH205603&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2019 INFINITI QX50 ESSENTIAL (CVT) 4DR ALL-WHEEL DRIVE,https://images.edealer.ca/18/121385726.jpeg,3PCAJ5M36KF141632,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=3PCAJ5M36KF141632&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2019 INFINITI QX50 ESSENTIAL (CVT) 4DR ALL-WHEEL DRIVE,https://images.edealer.ca/18/121392902.jpeg,3PCAJ5M39KF142421,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=3PCAJ5M39KF142421&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2019 INFINITI Q60 3.0T SPORT 2DR ALL-WHEEL DRIVE COUPE,https://images.edealer.ca/18/121103989.jpeg,JN1EV7EL7KM291288,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=JN1EV7EL7KM291288&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2019 INFINITI QX50 ESSENTIAL (CVT) 4DR ALL-WHEEL DRIVE,https://images.edealer.ca/18/121106262.jpeg,3PCAJ5M34KF134436,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=3PCAJ5M34KF134436&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2020 HYUNDAI ELANTRA ESSENTIAL,https://images.edealer.ca/18/122014957.jpeg,KMHD84LF5LU909958,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=KMHD84LF5LU909958&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2019 INFINITI QX50 PROACTIVE (CVT) 4DR ALL-WHEEL DRIVE,https://images.edealer.ca/18/121702801.jpeg,3PCAJ5M30KF144736,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=3PCAJ5M30KF144736&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2019 INFINITI QX50 ESSENTIAL (CVT) 4DR ALL-WHEEL DRIVE,https://images.edealer.ca/18/121787284.jpeg,3PCAJ5M36KF139265,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=3PCAJ5M36KF139265&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2020 NISSAN MURANO PLATINUM 4DR ALL-WHEEL DRIVE,https://images.edealer.ca/18/122015018.jpeg,5N1AZ2DS2LN169716,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=5N1AZ2DS2LN169716&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2019 AUDI Q5 45 TECHNIK 4DR ALL-WHEEL DRIVE QUATTRO SPORT UTILITY,https://images.edealer.ca/18/120273119.jpeg,WA1FNAFYXK2142887,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=WA1FNAFYXK2142887&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2021 INFINITI Q50 PURE 4DR ALL-WHEEL DRIVE SEDAN,https://images.edealer.ca/18/120557103.jpeg,JN1EV7AR5MM752677,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=JN1EV7AR5MM752677&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2022 PORSCHE MACAN GTS 4DR ALL-WHEEL DRIVE,https://images.edealer.ca/18/120925824.jpeg,WP1AF2A56NLB31169,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=WP1AF2A56NLB31169&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2021 INFINITI QX50 PURE 4DR ALL-WHEEL DRIVE,https://images.edealer.ca/18/120452865.jpeg,3PCAJ5AB0MF117051,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=3PCAJ5AB0MF117051&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2021 INFINITI Q50 RED SPORT I-LINE PROACTIVE 4DR ALL-WHEEL DRIVE SEDAN,https://images.edealer.ca/18/119872391.jpeg,JN1FV7DR2MM880522,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=JN1FV7DR2MM880522&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2021 INFINITI Q50 LUXE 4DR ALL-WHEEL DRIVE SEDAN,https://images.edealer.ca/18/120295517.jpeg,JN1EV7BR4MM753706,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=JN1EV7BR4MM753706&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2021 BMW M240I XDRIVE I 2DR ALL-WHEEL DRIVE CABRIOLET,https://images.edealer.ca/18/121539773.jpeg,WBA2N3C0XM7H38540,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=WBA2N3C0XM7H38540&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2020 INFINITI QX60 ESSENTIAL 4DR ALL-WHEEL DRIVE,https://images.edealer.ca/18/120372941.jpeg,5N1DL0MM7LC529367,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=5N1DL0MM7LC529367&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2021 INFINITI QX50 PURE 4DR ALL-WHEEL DRIVE,https://images.edealer.ca/18/120295465.jpeg,3PCAJ5AB8MF119808,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=3PCAJ5AB8MF119808&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2021 INFINITI QX50 PURE 4DR ALL-WHEEL DRIVE,https://images.edealer.ca/18/118326234.jpeg,3PCAJ5AB1MF112456,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=3PCAJ5AB1MF112456&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2022 INFINITI QX80 LUXE 8 PASSENGER 4DR 4X4,https://images.edealer.ca/18/118159281.jpeg,JN8AZ2AC5N9485175,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=JN8AZ2AC5N9485175&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2018 BMW X3 XDRIVE30I 4DR ALL-WHEEL DRIVE SPORTS ACTIVITY VEHICLE,https://images.edealer.ca/18/115290621.jpeg,5UXTR9C58JLD67437,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=5UXTR9C58JLD67437&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2018 MERCEDES-BENZ AMG S 63 2DR ALL-WHEEL DRIVE 4MATIC+ CABRIOLET,https://images.edealer.ca/18/113099440.jpeg,WDDXK8JB7JA035305,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=WDDXK8JB7JA035305&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2020 MERCEDES-BENZ AMG C 43 2DR ALL-WHEEL DRIVE 4MATIC CABRIOLET,https://images.edealer.ca/18/112252704.jpeg,WDDWK6EB7LF941017,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=WDDWK6EB7LF941017&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2022 INFINITI QX60 LUXE 4DR ALL-WHEEL DRIVE,https://images.edealer.ca/18/122204456.jpeg,5N1DL1FS5NC330211,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=5N1DL1FS5NC330211&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2019 LAND ROVER RANGE ROVER VELAR P300 SE R-DYNAMIC 4DR 4X4,https://images.edealer.ca/18/122204217.jpeg,SALYL2FX3KA227019,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=SALYL2FX3KA227019&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2019 BMW X4 XDRIVE30I 4DR ALL-WHEEL DRIVE SPORTS ACTIVITY COUPE,https://images.edealer.ca/18/122204843.jpeg,5UXUJ3C54KLG53120,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=5UXUJ3C54KLG53120&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2014 INFINITI QX60 4DR ALL-WHEEL DRIVE SPORT UTILITY,https://images.edealer.ca/18/122204799.jpeg,5N1AL0MM5EC538686,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=5N1AL0MM5EC538686&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2021 INFINITI Q60 LUXE 2DR ALL-WHEEL DRIVE COUPE,https://images.edealer.ca/18/122145695.jpeg,JN1EV7KL3MM470208,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=JN1EV7KL3MM470208&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2019 INFINITI Q50 3.0T RED SPORT 400 (A7) 4DR ALL-WHEEL DRIVE SEDAN,https://images.edealer.ca/18/122088786.jpeg,JN1FV7AR8KM801212,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=JN1FV7AR8KM801212&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2019 INFINITI QX60 PURE (CVT) 4DR ALL-WHEEL DRIVE,https://images.edealer.ca/18/122088850.jpeg,5N1DL0MM3KC529557,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=5N1DL0MM3KC529557&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2017 INFINITI QX60 (CVT) 4DR ALL-WHEEL DRIVE,https://images.edealer.ca/18/121697473.jpeg,5N1DL0MM2HC527159,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=5N1DL0MM2HC527159&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2022 INFINITI Q60 RED SPORT I-LINE PROACTIVE 2DR ALL-WHEEL DRIVE COUPE,https://images.edealer.ca/2/121567079.jpeg,JN1FV7LL4NM680630,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=JN1FV7LL4NM680630&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2019 PORSCHE CAYENNE 4DR ALL-WHEEL DRIVE,https://images.edealer.ca/18/121210497.jpeg,WP1AA2AY1KDA11455,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=WP1AA2AY1KDA11455&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2018 MERCEDES-BENZ C-CLASS C 300 4DR ALL-WHEEL DRIVE 4MATIC SEDAN,https://images.edealer.ca/18/120954078.jpeg,55SWF4KB0JU246479,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=55SWF4KB0JU246479&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
